Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
265-271 N 6th St,San Jose,95112,11/19/2010,1022500,Multi-Family,6,5724,0.36391379,C,Other,WoodFrame,1958,12,-121.888345,37.342366
2356 Sutter Ave,Santa Clara,95050,11/2/2010,1015000,Multi-Family,5.6,5608,0.559792374,C,Other,Unknown,1957,8,-121.962562,37.328839
1005 Ferry St,Martinez,94553,6/18/2010,1000000,Multi-Family,8.61,11458,1.3859925,B,Other,Unknown,1920,18,-122.1343871,38.0162334
20 Luna Ln,San Anselmo,94960,8/27/2010,990000,Multi-Family,5,5400,0.647404388,C,Other,Unknown,1966,6,-122.5626725,37.9778607
59 Ignacio Ln,Novato,94949,7/15/2010,980500,Multi-Family,7.1,4700,0.154143846,C,Other,Unknown,1974,10,-122.5419426,38.0684123
219 Jackson Ave,Redwood City,94061,8/31/2010,975000,Multi-Family,6.85,6857,1.039096833,C,Other,WoodFrame,1960,7,-122.2308201,37.480645
39-41 Albion St,San Francisco,94103,8/13/2010,965000,Multi-Family,5.97,5025,2.45481192,C,Other,WoodFrame,1907,6,-122.423,37.765828
485 Wesley Ave,Oakland,94606,12/21/2010,962000,Multi-Family,6.59,4870,0.860120099,C,Other,WoodFrame,1922,6,-122.249919,37.804669
1525 Harmon St,Berkeley,94703,6/9/2010,960000,Multi-Family,8.07,6656,0.985928011,C,Other,Masonry,1962,8,-122.2769646,37.8491833
726 Oak St,San Francisco,94117,9/9/2010,950000,Multi-Family,5.65,5630,1.489024068,C,Other,Unknown,1965,8,-122.4313841,37.7741012
569 Commercial Ave,South San Francisco,94080,12/10/2010,950000,Multi-Family,5,6338,1.056685562,C,Other,WoodFrame,1963,6,-122.4198399,37.6549504
1401 Lincoln Ave,San Rafael,94901,7/23/2010,935000,Multi-Family,5.63,11290,2.159938779,C,Other,WoodFrame,1954,7,-122.5223315,37.978003
193 Cleveland Ave,San Jose,95128,2/1/2011,910000,Multi-Family,5.37,3640,0.647341277,C,Other,Unknown,1959,8,-121.9301918,37.3266714
1279 19th Ave,San Francisco,94122,8/16/2010,903500,Multi-Family,5.82,2444,0.957680251,C,Other,Unknown,1953,6,-122.4775142,37.7640496
1241 Clinton St,Redwood City,94061,12/20/2010,886500,Multi-Family,6.01,3800,0.545271918,C,Other,Unknown,1951,5,-122.2248869,37.4754247
2323 San Juan Ave,Walnut Creek,94597,12/22/2010,867600,Multi-Family,6.49,4968,0.271549604,C,Other,Unknown,1954,8,-122.0693156,37.9115702
1863-1867 Robin Ln,Concord,94520,12/16/2010,862000,Multi-Family,7.33,6878,0.315794307,C,Other,WoodFrame,1953,11,-122.042402,37.958618
