Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
24050 Silva Ave,Multi-Family,5/11/2000,6325000,8.75,6.9,81.86,87847,77262,72,48,Good,C,Masonry,37.664205,-122.082301,36,36,0,3,94544,2 Star,0,0,,1969
260 Industrial Pky,Multi-Family,10/1/2003,5800000,10.37,7.27,141.91,120833,62361,48,44,Good,B,Wood Frame,37.627624,-122.049872,36,12,0,3,94544,2 Star,0,0,,1973
1448 Madison St,Multi-Family,7/16/2004,4700000,9.61,5.6,197.65,117500,23780,40,30,Good,B,Masonry,37.8020865,-122.2632548,36,4,0,4,94612,3 Star,0,N/Av,,1987
1170 Lincoln Ave,Multi-Family,10/1/2004,4295000,9.47,6.93,169.44,113026,25348,38,58,Good,C,Wood Frame,37.9008123,-122.0576058,36,0,0,2,94596,2 Star,0,M1,,1959
1170 Lincoln Ave,Multi-Family,10/4/2000,3100000,8.95,6.72,122.3,81579,25348,38,58,Good,C,Wood Frame,37.9008123,-122.0576058,36,0,0,2,94596,2 Star,0,M1,1031 Exchange,1959
142 Fig Tree Ln,Multi-Family,9/28/2006,21500000,,5.8,161.43,127976,133184,168,32,Good,B,Wood Frame,37.992874,-122.095082,36,132,0,3,94553,3 Star,0,N/Av,1031 Exchange,1985
4222 Central Ave,Multi-Family,5/11/2006,4900000,9.63,6.45,188.35,113953,26016,43,58,Good,C,,37.5538573,-122.0049212,36,7,0,2,94536,2 Star,0,RG19,1031 Exchange,1959
4222 Central Ave,Multi-Family,10/22/1999,2780000,,8.5,106.86,64651,26016,43,58,Good,C,,37.5538573,-122.0049212,36,7,0,2,94536,2 Star,0,RG19,1031 Exchange,1959
1890 Clay St,Multi-Family,9/17/2010,25500000,,5.25,322.16,344595,79152,74,55,Good,B,Steel,37.7921751,-122.4240239,35,23,0,12,94109,3 Star,0,RM3,REO Sale,1962
620 Eddy St (Part of Portfolio),Multi-Family,12/8/2011,3900000,,,204.19,111428,19100,35,107,Good,B,Reinforced Concrete,37.7834208,-122.4180457,35,0,0,4,94109,2 Star,0,RC-4,1031 Exchange,1910
